batter,yearID,velocity_bin,statcast_age_bat_velocity_sum,statcast_age_bat_velocity_count,velocity_pitch_count,release_speed_sum,release_speed_count,velocity_batted_ball_count,velocity_launch_speed_sum,velocity_launch_angle_sum,velocity_launch_angle_count,velocity_hard_hit_sum,velocity_xwoba_sum,velocity_xwoba_count,velocity_xslg_sum,velocity_xslg_count,velocity_bin_label,statcast_age_bat_velocity,avg_pitch_speed_in_bin,velocity_avg_launch_speed,velocity_avg_launch_angle,velocity_hard_hit_rate,velocity_avg_estimated_woba,velocity_avg_estimated_slg
121347,2016,v_ge95,1394,34,34,3271.8,34,14,1173.5,395.0,14,5,4.8420000000000005,11,6.836,7,95mph 이상,41.0,96.22941176470589,83.82142857142857,28.214285714285715,0.35714285714285715,0.44018181818181823,0.9765714285714286
133380,2015,v_lt85,3848,104,104,8468.3,104,29,2475.4,435.0,29,6,7.807,30,10.835,23,85mph 미만,37.0,81.42596153846154,85.35862068965517,15.0,0.20689655172413793,0.26023333333333337,0.47108695652173915
133380,2015,v_85_90,4144,112,112,9805.3,112,16,1298.9,245.0,16,5,6.050529,27,6.224,15,85~90mph,37.0,87.54732142857142,81.18125,15.3125,0.3125,0.22409366666666666,0.4149333333333333
133380,2015,v_90_95,5476,148,148,13695.2,148,39,3402.6,347.0,39,14,8.498529000000001,33,8.416,27,90~95mph,37.0,92.53513513513514,87.24615384615385,8.897435897435898,0.358974358974359,0.25753118181818185,0.3117037037037037
133380,2015,v_ge95,2812,76,76,7313.700000000001,76,19,1732.0,163.0,19,9,8.316130000000001,26,11.579,19,95mph 이상,37.0,96.23289473684211,91.15789473684211,8.578947368421053,0.47368421052631576,0.31985115384615387,0.609421052631579
134181,2015,v_lt85,4392,122,122,9808.8,122,36,3096.1000000000004,409.0,36,11,10.815843,34,15.550999999999998,25,85mph 미만,36.0,80.39999999999999,86.0027777777778,11.36111111111111,0.3055555555555556,0.31811302941176467,0.6220399999999999
134181,2015,v_85_90,4428,123,123,10762.8,123,28,2480.7,290.0,28,13,8.948843,26,11.471,23,85~90mph,36.0,87.50243902439024,88.59642857142856,10.357142857142858,0.4642857142857143,0.3441862692307692,0.49873913043478263
134181,2015,v_90_95,6588,183,183,16873.3,183,53,4732.8,357.0,53,20,18.724529,52,24.336000000000002,45,90~95mph,36.0,92.20382513661202,89.29811320754717,6.735849056603773,0.37735849056603776,0.36008709615384615,0.5408000000000001
134181,2015,v_ge95,1332,37,37,3550.6,37,15,1324.8,276.0,15,5,5.5446860000000004,15,3.492,10,95mph 이상,36.0,95.96216216216216,88.32,18.4,0.3333333333333333,0.36964573333333334,0.3492
134181,2016,v_lt85,7881,213,213,17003.3,213,51,4324.8,760.0,51,17,16.101447999999998,52,19.164,38,85mph 미만,37.0,79.82769953051643,84.8,14.901960784313726,0.3333333333333333,0.3096432307692307,0.5043157894736843
134181,2016,v_85_90,5550,150,150,13170.2,150,45,3997.6,767.0,45,15,13.278611999999999,33,18.32,31,85~90mph,37.0,87.80133333333333,88.83555555555556,17.044444444444444,0.3333333333333333,0.4023821818181818,0.5909677419354838
134181,2016,v_90_95,8066,218,218,20045.6,218,77,6515.5,1878.0,77,16,19.85649,63,20.822,51,90~95mph,37.0,91.95229357798165,84.61688311688312,24.38961038961039,0.2077922077922078,0.315182380952381,0.40827450980392155
134181,2016,v_ge95,2331,63,63,6094.0,63,24,2200.3,355.0,24,13,10.865,19,17.408,18,95mph 이상,37.0,96.73015873015873,91.67916666666667,14.791666666666666,0.5416666666666666,0.5718421052631579,0.9671111111111111
134181,2017,v_lt85,3078,81,81,6461.0,81,20,1602.9,368.0,20,5,5.033988,17,4.75,12,85mph 미만,38.0,79.76543209876543,80.14500000000001,18.4,0.25,0.2961169411764706,0.3958333333333333
134181,2017,v_85_90,3306,87,87,7619.6,87,21,1722.1,377.0,21,6,6.6545950000000005,16,4.027,9,85~90mph,38.0,87.58160919540231,82.0047619047619,17.952380952380953,0.2857142857142857,0.41591218750000003,0.4474444444444445
134181,2017,v_90_95,4028,106,106,9765.900000000001,106,37,2889.7,827.0,37,5,7.006994000000001,23,9.203,18,90~95mph,38.0,92.13113207547171,78.1,22.35135135135135,0.13513513513513514,0.3046519130434783,0.5112777777777777
134181,2017,v_ge95,950,25,25,2427.1,25,13,1109.5,346.0,13,4,4.339994,10,5.830000000000001,8,95mph 이상,38.0,97.084,85.34615384615384,26.615384615384617,0.3076923076923077,0.4339994,0.7287500000000001
134181,2018,v_lt85,5928,152,152,12187.6,152,27,2242.2,349.0,27,7,6.178000000000001,32,9.045,20,85mph 미만,39.0,80.18157894736842,83.04444444444444,12.925925925925926,0.25925925925925924,0.19306250000000003,0.45225
134181,2018,v_85_90,4212,108,108,9486.5,108,28,2315.8,484.0,28,8,5.437530000000001,20,5.812,16,85~90mph,39.0,87.83796296296296,82.70714285714287,17.285714285714285,0.2857142857142857,0.2718765,0.36325
134181,2018,v_90_95,6123,157,157,14492.199999999999,157,56,4692.4,1302.0,56,12,12.555000000000001,38,10.968,25,90~95mph,39.0,92.30700636942674,83.79285714285713,23.25,0.21428571428571427,0.3303947368421053,0.43872
134181,2018,v_ge95,2184,56,56,5377.0,56,21,1865.9,436.0,21,10,9.79253,23,12.569,19,95mph 이상,39.0,96.01785714285714,88.85238095238095,20.761904761904763,0.47619047619047616,0.42576217391304344,0.6615263157894737
136860,2015,v_lt85,4978,131,131,10416.8,131,35,2919.6,392.0,35,7,11.145529,33,11.495000000000001,25,85mph 미만,38.0,79.51755725190839,83.41714285714285,11.2,0.2,0.33774330303030303,0.45980000000000004
136860,2015,v_85_90,3002,79,79,6887.799999999999,79,18,1600.7,-18.0,18,7,4.726843,18,4.99,14,85~90mph,38.0,87.1873417721519,88.92777777777778,-1.0,0.3888888888888889,0.26260238888888887,0.35642857142857143
136860,2015,v_90_95,5130,135,135,12482.9,135,27,2512.4,573.0,27,14,12.972215,35,14.555,24,90~95mph,38.0,92.46592592592593,93.05185185185185,21.22222222222222,0.5185185185185185,0.3706347142857143,0.6064583333333333
136860,2015,v_ge95,3154,83,83,8022.0,83,17,1515.1999999999998,394.0,17,7,5.371843,19,5.65,13,95mph 이상,38.0,96.65060240963855,89.12941176470588,23.176470588235293,0.4117647058823529,0.2827285789473684,0.4346153846153846
136860,2016,v_lt85,6708,172,172,13646.5,172,48,4125.1,565.0,48,16,15.213836,49,18.914,34,85mph 미만,39.0,79.34011627906976,85.93958333333335,11.770833333333334,0.3333333333333333,0.3104864489795918,0.5562941176470588
136860,2016,v_85_90,4524,116,116,10212.2,116,46,4090.4,573.0,46,18,12.489,33,18.815,30,85~90mph,39.0,88.03620689655173,88.92173913043479,12.456521739130435,0.391304347826087,0.3784545454545455,0.6271666666666668
136860,2016,v_90_95,7410,190,190,17555.899999999998,190,60,5349.4,997.0,60,22,21.542836,56,28.576,45,90~95mph,39.0,92.39947368421052,89.15666666666667,16.616666666666667,0.36666666666666664,0.3846935,0.6350222222222223
136860,2016,v_ge95,2535,65,65,6286.0,65,19,1591.1,652.0,19,3,3.941612,15,4.334,11,95mph 이상,39.0,96.70769230769231,83.7421052631579,34.31578947368421,0.15789473684210525,0.2627741333333333,0.39399999999999996
136860,2017,v_lt85,6280,157,157,12551.4,157,47,3898.9,533.0,47,8,7.333,46,8.996,34,85mph 미만,40.0,79.9452229299363,82.95531914893617,11.340425531914894,0.1702127659574468,0.15941304347826088,0.2645882352941177
136860,2017,v_85_90,4040,101,101,8821.800000000001,101,33,2618.8,344.0,33,6,7.754994,27,9.89,22,85~90mph,40.0,87.34455445544556,79.35757575757576,10.424242424242424,0.18181818181818182,0.287222,0.4495454545454546
136860,2017,v_90_95,6320,158,158,14603.1,158,48,3942.5,1125.0,48,11,9.436994,40,12.758000000000001,28,90~95mph,40.0,92.4246835443038,82.13541666666667,23.4375,0.22916666666666666,0.23592485000000002,0.4556428571428572
136860,2017,v_ge95,2240,56,56,5380.4,56,20,1627.5,331.0,20,5,7.956999999999999,16,12.045,13,95mph 이상,40.0,96.07857142857142,81.375,16.55,0.25,0.49731249999999994,0.9265384615384615
150029,2015,v_lt85,2880,80,80,6471.5,80,16,1343.1,449.0,16,3,3.595843,16,4.106,10,85mph 미만,36.0,80.89375,83.94375,28.0625,0.1875,0.2247401875,0.41059999999999997
150029,2015,v_85_90,1908,53,53,4662.1,53,12,1058.3,172.0,12,3,3.028,10,5.304,10,85~90mph,36.0,87.96415094339623,88.19166666666666,14.333333333333334,0.25,0.3028,0.5304
150029,2015,v_90_95,3780,105,105,9682.0,105,21,1910.1,309.0,21,9,12.375372,29,15.453,20,90~95mph,36.0,92.20952380952382,90.95714285714286,14.714285714285714,0.42857142857142855,0.4267369655172414,0.77265
150029,2015,v_ge95,2088,58,58,5602.4,58,9,838.3,116.0,9,4,5.161529,17,4.432,8,95mph 이상,36.0,96.59310344827585,93.14444444444445,12.88888888888889,0.4444444444444444,0.3036193529411765,0.554
150029,2016,v_lt85,5217,141,141,11312.7,141,28,2244.6,578.0,28,1,3.543612,36,3.589,20,85mph 미만,37.0,80.23191489361703,80.16428571428571,20.642857142857142,0.03571428571428571,0.09843366666666667,0.17945
150029,2016,v_85_90,5476,148,148,12981.4,148,32,2847.0,577.0,32,15,17.533284000000002,34,20.42,22,85~90mph,37.0,87.71216216216216,88.96875,18.03125,0.46875,0.5156848235294118,0.9281818181818182
150029,2016,v_90_95,10804,292,292,26944.4,292,68,5810.6,1595.0,68,17,18.923507999999998,55,16.779,39,90~95mph,37.0,92.27534246575343,85.45,23.455882352941178,0.25,0.3440637818181818,0.43023076923076925
