pitcher,yearID,age_pit,pitch_count,avg_release_speed,avg_effective_speed,avg_release_spin_rate,avg_release_extension,fastball_pitch_count,fastball_usage_rate,fastball_avg_speed,fastball_avg_effective_speed,fastball_avg_spin,fastball_avg_extension,breaking1_pitch_type,breaking1_pitch_name,breaking1_pitch_count,breaking1_usage_rate,breaking1_avg_speed,breaking1_avg_effective_speed,breaking1_avg_spin,breaking1_avg_extension,breaking2_pitch_type,breaking2_pitch_name,breaking2_pitch_count,breaking2_usage_rate,breaking2_avg_speed,breaking2_avg_effective_speed,breaking2_avg_spin,breaking2_avg_extension
475416,2015,120.0,249,85.70481927710843,85.83918367346938,1933.9170124481327,6.4261224489795925,189.0,0.7590361445783133,87.95820105820106,88.21236559139786,2003.021505376344,6.566666666666667,SL,Slider,60.0,0.24096385542168675,78.60666666666665,78.35762711864407,1700.2181818181818,5.983050847457627,,,,,,,,
475479,2015,145.0,504,88.07242063492063,86.11792828685259,2204.268,5.317330677290837,303.0,0.6011904761904762,90.93201320132013,88.92350993377482,2148.615894039735,5.385430463576159,SL,Slider,83.0,0.16468253968253968,88.2578313253012,86.76746987951807,2234.6746987951806,5.381927710843374,KC,Knuckle Curve,79.0,0.15674603174603174,79.08481012658227,76.70886075949367,2491.844155844156,4.940506329113925
475479,2016,150.0,361,91.79058171745153,90.8312865497076,2340.068047337278,5.603508771929825,280.0,0.775623268698061,93.65678571428572,92.68838951310862,2313.409090909091,5.675280898876404,SL,Slider,40.0,0.11080332409972299,89.69500000000001,88.85135135135135,2392.945945945946,5.505405405405405,KC,Knuckle Curve,31.0,0.08587257617728532,80.18064516129031,78.34285714285714,2649.074074074074,5.107142857142857
475479,2017,155.0,225,90.74705882352943,89.16696832579186,2387.262443438914,5.4895927601809955,181.0,0.8044444444444444,92.78508287292817,91.31546961325967,2341.9060773480664,5.5872928176795575,KC,Knuckle Curve,40.0,0.17777777777777778,81.525,79.44500000000001,2592.5,5.0475,,,,,,,,
475479,2019,132.0,222,87.77567567567569,86.46891891891892,2428.6666666666665,5.395495495495496,150.0,0.6756756756756757,91.402,90.348,2332.8,5.544666666666667,KC,Knuckle Curve,69.0,0.3108108108108108,79.94782608695651,78.07391304347827,2652.5797101449275,5.053623188405797,,,,,,,,
475479,2021,70.0,92,89.63804347826088,88.21195652173913,2399.2065217391305,5.410869565217391,68.0,0.7391304347826086,92.075,90.66029411764706,2368.235294117647,5.447058823529411,KC,Knuckle Curve,18.0,0.1956521739130435,81.53333333333333,80.12222222222222,2564.8333333333335,5.305555555555555,,,,,,,,
475479,2022,216.0,214,88.38738317757009,86.69392523364486,2396.532710280374,5.2598130841121495,138.0,0.6448598130841121,91.83260869565217,90.10942028985508,2351.3985507246375,5.292753623188406,KC,Knuckle Curve,65.0,0.3037383177570093,81.43538461538462,79.83076923076923,2524.8615384615387,5.187692307692308,,,,,,,,
475857,2015,28.0,16,94.28125,91.9375,2047.0666666666666,5.38125,14.0,0.875,95.58571428571429,93.26428571428572,2116.5,5.457142857142857,SL,Slider,2.0,0.125,85.15,82.65,1075.0,4.85,,,,,,,,
475857,2018,62.0,47,90.69148936170212,89.66808510638297,2393.1702127659573,5.5638297872340425,30.0,0.6382978723404256,94.11666666666666,93.37666666666668,2126.133333333333,5.783333333333333,SL,Slider,16.0,0.3404255319148936,84.45,82.9125,2963.4375,5.15625,,,,,,,,
476123,2016,28.0,60,86.34666666666666,84.28333333333333,1925.2931034482758,5.258333333333334,36.0,0.6,89.73611111111111,87.62222222222222,2020.638888888889,5.286111111111111,SL,Slider,5.0,0.08333333333333333,80.22,77.62,1955.5,4.720000000000001,CU,Curveball,3.0,0.05,75.8,73.73333333333333,2207.3333333333335,5.266666666666667
476123,2017,29.0,26,84.70384615384616,83.34615384615384,1914.3461538461538,5.6692307692307695,15.0,0.5769230769230769,89.50666666666666,88.28,1938.7333333333333,5.746666666666667,CU,Curveball,5.0,0.19230769230769232,72.86,70.88,2037.2,5.34,,,,,,,,
476451,2015,140.0,660,86.06348484848485,85.13888888888889,2206.451313755796,5.658024691358025,390.0,0.5909090909090909,90.80179487179487,89.96187989556137,2150.154046997389,5.740469973890339,CU,Curveball,124.0,0.18787878787878787,77.61048387096774,75.76475409836065,2798.198347107438,5.079508196721312,SL,Slider,1.0,0.0015151515151515152,90.0,89.6,2080.0,6.0
476451,2016,174.0,568,85.44894366197182,84.40320150659133,2186.677966101695,5.775329566854991,291.0,0.5123239436619719,90.16460481099656,89.19925373134329,2085.1007462686566,5.8287313432835814,CU,Curveball,90.0,0.15845070422535212,76.90444444444444,75.45862068965516,2976.4942528735633,5.340229885057471,SL,Slider,61.0,0.1073943661971831,85.47213114754099,84.97592592592594,2329.074074074074,5.696296296296297
476451,2017,180.0,693,85.14905109489051,83.79912408759124,2195.4817518248174,5.624379562043796,384.0,0.5541125541125541,89.33359374999999,87.91223958333332,2162.0052083333335,5.638020833333333,KC,Knuckle Curve,107.0,0.1544011544011544,76.90747663551402,74.86168224299067,2952.1682242990655,5.133644859813083,,,,,,,,
476451,2018,124.0,471,83.86581740976646,82.67749469214436,2250.8893617021276,5.584288747346072,224.0,0.47558386411889597,89.39821428571427,88.28526785714287,2121.9151785714284,5.689285714285715,KC,Knuckle Curve,133.0,0.2823779193205945,76.74511278195487,75.00601503759398,2843.1654135338345,5.221052631578948,,,,,,,,
476451,2019,64.0,165,82.83393939393939,81.65757575757576,2194.151515151515,5.557575757575758,84.0,0.509090909090909,87.97142857142856,86.84285714285714,2160.154761904762,5.628571428571429,KC,Knuckle Curve,31.0,0.18787878787878787,73.44193548387096,71.31935483870969,2815.2258064516127,5.035483870967742,,,,,,,,
476454,2015,162.0,343,91.43061224489796,91.08999999999999,2291.909657320872,6.285,185.0,0.5393586005830904,97.41837837837839,97.55409836065574,2400.0,6.545901639344263,KC,Knuckle Curve,138.0,0.40233236151603496,84.26811594202898,83.38540145985401,2095.2083333333335,5.952554744525547,SV,Slurve,20.0,0.05830903790087463,85.465,84.72,2498.842105263158,6.175
476454,2016,168.0,355,89.95774647887323,89.41581920903955,2685.2700964630226,5.994915254237288,142.0,0.4,97.8507042253521,97.89787234042554,2492.3138686131388,6.309219858156029,KC,Knuckle Curve,159.0,0.447887323943662,83.8685534591195,82.937106918239,2847.598360655738,5.738993710691824,SV,Slurve,54.0,0.15211267605633802,87.13148148148149,86.34444444444445,2812.7884615384614,5.927777777777778
476454,2017,174.0,245,90.23839662447257,89.80506329113923,2667.141025641026,6.10801687763713,100.0,0.40816326530612246,98.22,98.31199999999998,2464.19,6.386,KC,Knuckle Curve,105.0,0.42857142857142855,83.64761904761905,82.77238095238096,2835.5098039215686,5.859999999999999,SV,Slurve,32.0,0.1306122448979592,86.921875,86.296875,2764.6875,6.053125
476454,2018,180.0,283,91.05547703180213,90.81448763250883,2421.7751937984494,6.126855123674912,135.0,0.47703180212014135,97.72518518518518,97.95481481481481,2344.9925925925927,6.404444444444445,KC,Knuckle Curve,101.0,0.3568904593639576,83.96534653465346,83.20693069306931,2535.8289473684213,5.832673267326733,SV,Slurve,45.0,0.15901060070671377,86.84444444444445,86.32444444444444,2478.222222222222,5.935555555555556
476454,2021,33.0,21,87.11428571428571,87.3047619047619,2366.190476190476,6.523809523809524,12.0,0.5714285714285714,91.81666666666666,92.27499999999999,2255.5833333333335,6.658333333333334,KC,Knuckle Curve,9.0,0.42857142857142855,80.84444444444445,80.67777777777778,2513.6666666666665,6.344444444444444,,,,,,,,
476570,2015,29.0,60,91.315,91.81333333333333,1947.6530612244899,6.9,39.0,0.65,93.7897435897436,94.32307692307693,2029.2432432432433,6.912820512820513,SL,Slider,16.0,0.26666666666666666,86.2,86.6625,1777.0,6.9125,,,,,,,,
476570,2016,30.0,35,90.96,91.21142857142857,2169.5862068965516,6.508571428571429,25.0,0.7142857142857143,92.85600000000001,93.204,2213.76,6.572,SL,Slider,8.0,0.22857142857142856,85.7375,85.65,2315.5,6.3125,,,,,,,,
476589,2015,168.0,467,89.07601713062098,88.44130434782609,2086.5343680709534,6.079782608695652,205.0,0.43897216274089934,93.41853658536586,92.94522613065325,2156.287878787879,6.233668341708543,SL,Slider,138.0,0.2955032119914347,87.84420289855072,87.17898550724638,2195.1679389312976,5.8884057971014485,CU,Curveball,42.0,0.08993576017130621,80.19761904761906,79.05365853658536,2071.225,5.709756097560976
476589,2016,174.0,418,88.80047846889951,88.52053140096618,2153.372549019608,6.146859903381643,177.0,0.423444976076555,93.34745762711864,93.25227272727274,2221.278409090909,6.332954545454545,SL,Slider,129.0,0.30861244019138756,87.8782945736434,87.375,2260.6774193548385,5.8812500000000005,CU,Curveball,42.0,0.10047846889952153,80.29285714285714,79.24146341463415,2226.95,5.797560975609756
476589,2017,150.0,225,88.22772727272726,87.7324200913242,2179.759259259259,6.030454545454545,93.0,0.41333333333333333,92.63333333333333,92.29462365591398,2220.505376344086,6.2075268817204305,SL,Slider,82.0,0.36444444444444446,85.83780487804877,85.06913580246913,2289.5949367088606,5.7768292682926825,CU,Curveball,16.0,0.07111111111111111,80.18125,79.15,2178.0,5.74375
476589,2018,155.0,251,87.756,87.33,2192.1260162601625,5.9243999999999994,112.0,0.44621513944223107,91.84285714285716,91.68035714285715,2188.3035714285716,6.145535714285714,SL,Slider,103.0,0.4103585657370518,85.08446601941748,84.40970873786408,2268.6464646464647,5.669902912621359,CU,Curveball,16.0,0.06374501992031872,79.50625,78.35625,2126.25,5.6499999999999995
476589,2019,96.0,190,86.62105263157895,86.41736842105263,2091.1329787234044,6.044736842105263,56.0,0.29473684210526313,90.93392857142855,90.9375,2135.839285714286,6.2124999999999995,SL,Slider,89.0,0.46842105263157896,85.4561797752809,84.95505617977528,2216.9204545454545,5.788764044943821,CU,Curveball,8.0,0.042105263157894736,78.0875,77.1375,2039.875,5.7875
476594,2018,87.0,176,91.84011627906976,91.50755813953488,2329.544378698225,6.098255813953489,104.0,0.5909090909090909,97.83461538461538,97.68653846153846,2207.0673076923076,6.2221153846153845,SL,Slider,60.0,0.3409090909090909,82.76166666666668,82.11500000000001,2647.0877192982457,5.89,,,,,,,,
476594,2019,60.0,140,91.47214285714284,90.94928571428571,2309.6285714285714,6.037142857142857,75.0,0.5357142857142857,97.91733333333332,97.47200000000001,2139.1866666666665,6.116,SL,Slider,47.0,0.3357142857142857,83.67234042553193,82.92978723404255,2851.0851063829787,5.872340425531915,,,,,,,,
476594,2021,32.0,68,90.19117647058823,90.54411764705883,2045.985294117647,6.339705882352941,41.0,0.6029411764705882,95.36341463414634,95.78048780487805,1977.1463414634147,6.36829268292683,SL,Slider,16.0,0.23529411764705882,82.0375,82.41875,2502.4375,6.35,,,,,,,,
476595,2016,29.0,16,85.94375000000001,84.52000000000001,2221.222222222222,5.9799999999999995,6.0,0.375,89.63333333333333,88.83333333333333,2340.3333333333335,6.1000000000000005,SL,Slider,9.0,0.5625,84.84444444444445,84.33333333333333,2137.2,5.966666666666666,CU,Curveball,1.0,0.0625,73.7,72.7,2284.0,5.7
476595,2021,204.0,265,84.81320754716981,84.99283018867924,2680.4115384615384,6.2981132075471695,155.0,0.5849056603773585,88.4109677419355,88.7883870967742,2599.781456953642,6.329677419354839,SL,Slider,77.0,0.29056603773584905,81.75974025974025,81.8935064935065,2830.5526315789475,6.2740259740259745,CU,Curveball,32.0,0.12075471698113208,74.875,74.2,2702.15625,6.1968749999999995
476595,2022,210.0,237,82.46919831223629,82.49620253164558,2602.4599156118143,6.3,131.0,0.5527426160337553,87.62137404580153,87.9763358778626,2590.290076335878,6.349618320610687,ST,Sweeper,75.0,0.31645569620253167,77.12933333333334,76.77333333333333,2687.9866666666667,6.212000000000001,CU,Curveball,31.0,0.1308016877637131,73.61612903225806,73.18387096774192,2446.967741935484,6.303225806451613
476595,2023,36.0,17,82.6470588235294,82.95,2624.875,6.392857142857143,10.0,0.5882352941176471,86.87,87.7375,2561.5,6.4125,ST,Sweeper,7.0,0.4117647058823529,76.61428571428571,76.56666666666666,2730.5,6.366666666666667,,,,,,,,
477003,2015,174.0,592,86.18057432432433,85.64102564102564,1940.1695501730103,6.157606837606838,421.0,0.7111486486486487,89.11353919239906,88.73599033816424,2027.2160194174758,6.240579710144927,CU,Curveball,77.0,0.13006756756756757,74.3935064935065,73.16753246753248,2173.0526315789475,5.616883116883117,SL,Slider,8.0,0.013513513513513514,79.3125,78.5,1964.25,5.925
