name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
qualls,chad,430589,qualc001,quallch01,2170,2004.0,2017.0
peña,brayan,430910,penab002,penabr01,3231,2005.0,2016.0
cabrera,melky,466320,cabrm002,cabreme01,4022,2005.0,2019.0
pedroia,dustin,456030,pedrd001,pedrodu01,8370,2006.0,2019.0
russell,james,460701,russj003,russeja02,4089,2010.0,2016.0
street,huston,434718,streh001,streehu01,8258,2005.0,2017.0
weeks,rickie,430001,weekr001,weeksri01,1849,2003.0,2017.0
carroll,scott,453222,carrs001,carrosc02,888,2014.0,2016.0
morse,mike,434604,morsm001,morsemi01,3035,2005.0,2017.0
johnson,jim,462382,johnj010,johnsji04,3656,2006.0,2018.0
reimold,nolan,460099,reimn001,reimono01,3441,2009.0,2016.0
grilli,jason,276351,grilj001,grillja01,521,2000.0,2017.0
espinosa,danny,457787,espid001,espinda01,9219,2010.0,2017.0
posey,buster,457763,poseb001,poseybu01,9166,2009.0,2021.0
walker,neil,435522,walkn001,walkene01,7539,2009.0,2020.0
lind,adam,452252,linda001,lindad01,8027,2006.0,2017.0
headley,chase,452104,headc001,headlch01,4720,2007.0,2018.0
orlando,paulo,449181,orlap001,orlanpa01,8628,2015.0,2018.0
betancourt,rafael,429783,betar001,betanra01,177,2003.0,2015.0
ellis,a. j.,454560,ellia001,ellisaj01,5677,2008.0,2018.0
gómez,héctor,467143,gomeh001,gomezhe01,2264,2011.0,2015.0
rodríguez,wandy,434643,rodrw002,rodriwa01,2586,2005.0,2015.0
bard,daniel,453268,bardd001,bardda01,7115,2009.0,2023.0
pearce,steve,456665,pears001,pearcst01,9957,2007.0,2019.0
duke,zach,435043,dukez001,dukeza01,3840,2005.0,2019.0
fuld,sam,453539,fulds001,fuldsa01,8254,2007.0,2015.0
hunter,torii,116338,huntt001,hunteto01,731,1997.0,2015.0
gonzalez,gio,461829,gonzg003,gonzagi01,7448,2008.0,2020.0
venable,will,461416,venaw001,venabwi01,211,2008.0,2016.0
lincecum,tim,453311,linct001,linceti01,5705,2007.0,2016.0
nathan,joe,150274,nathj001,nathajo01,1122,1999.0,2016.0
floyd,gavin,425856,floyg001,floydga01,3886,2004.0,2016.0
mcgowan,dustin,430661,mcgod001,mcgowdu01,8600,2005.0,2017.0
león,arcenio,455376,leona002,leonar02,8846,2017.0,2017.0
martin,russell,431145,martr004,martiru01,4616,2006.0,2019.0
kemp,matt,461314,kempm001,kempma01,5631,2006.0,2020.0
morneau,justin,408047,mornj001,morneju01,1737,2003.0,2016.0
simón,alfredo,430580,simoa001,simonal01,2155,2008.0,2016.0
wright,david,431151,wrigd002,wrighda03,3787,2004.0,2018.0
span,denard,452655,spand001,spande01,8347,2008.0,2018.0
noesí,héctor,456051,noesh001,noesihe01,3292,2011.0,2019.0
ruiz,carlos,434563,ruizc001,ruizca01,2579,2006.0,2017.0
jackson,edwin,429719,jacke001,jacksed01,1841,2003.0,2019.0
snyder,brandon,474319,snydb003,snydebr03,9856,2010.0,2018.0
plouffe,trevor,461858,plout001,plouftr01,7462,2010.0,2018.0
mcbride,matt,473724,mcbrm002,mcbrima02,9373,2012.0,2016.0
janssen,casey,445163,jansc001,janssca01,7355,2006.0,2015.0
gutiérrez,franklin,429711,gutif001,gutiefr01,3255,2005.0,2017.0
marquis,jason,150302,marqj001,marquja01,105,2000.0,2015.0
hart,corey,430611,hartc001,hartco01,1945,2004.0,2015.0
parra,manny,448159,parrm001,parrama01,4279,2007.0,2015.0
rollins,jimmy,276519,rollj001,rolliji01,971,2000.0,2016.0
loewen,adam,429400,loewa001,loewead01,2134,2006.0,2016.0
burnett,sean,430634,burns001,burnese01,1886,2004.0,2016.0
doubront,félix,467094,doubf001,doubrfe01,1478,2010.0,2015.0
surkamp,eric,474668,surke001,surkaer01,2540,2011.0,2016.0
baker,jeff,425557,bakej001,bakerje03,2073,2005.0,2015.0
de la rosa,jorge,407822,delaj001,rosajo01,2047,2004.0,2018.0
strop,pedro,467008,strop001,stroppe01,4070,2009.0,2021.0
schafer,jordan,457788,schaj002,schafjo02,9883,2009.0,2015.0
wright,steven,453214,wrigs001,wrighst01,8185,2013.0,2019.0
bruce,jay,457803,brucj001,bruceja01,9892,2008.0,2021.0
braun,ryan,460075,braur002,braunry02,3410,2007.0,2020.0
molina,yadier,425877,moliy001,molinya01,7007,2004.0,2022.0
davis,rajai,434658,davir003,davisra01,3708,2006.0,2019.0
mattheus,ryan,458919,mattr001,matthry01,7169,2011.0,2015.0
werth,jayson,150029,wertj001,werthja01,1327,2002.0,2017.0
francis,jeff,433585,franj003,francje01,4684,2004.0,2015.0
francoeur,jeff,425796,franj004,francje02,4792,2005.0,2016.0
florimón,pedro,465753,florp001,floripe01,8385,2011.0,2018.0
boesch,brennan,453269,boesb001,boescbr01,914,2010.0,2015.0
rosario,alberto,451705,rosaa002,rosaral01,7125,2016.0,2017.0
perkins,glen,450282,perkg001,perkigl01,8041,2006.0,2017.0
soria,joakim,465657,sorij001,soriajo01,6941,2007.0,2021.0
hill,rich,448179,hillr001,hillri01,4806,2005.0,2025.0
stauffer,tim,431162,staut001,staufti01,6432,2005.0,2015.0
smith,chris,434672,smitc002,smithch08,4544,2008.0,2017.0
ryan,brendan,453895,ryanb002,ryanbr01,6073,2007.0,2016.0
callaspo,alberto,430948,calla001,callaal01,3336,2006.0,2015.0
barney,darwin,446381,barnd001,barneda01,2430,2010.0,2017.0
carlyle,buddy,234194,carlb001,carlybu01,2010,1999.0,2015.0
field,thomas,474494,fielt001,fieldth01,6262,2011.0,2015.0
arrieta,jake,453562,arrij001,arrieja01,4153,2010.0,2021.0
chacín,jhoulys,468504,chacj001,chacijh01,2608,2009.0,2022.0
sizemore,grady,429713,sizeg001,sizemgr01,2197,2004.0,2015.0
wilson,bobby,435064,wilsb002,wilsobo02,6564,2008.0,2019.0
laffey,aaron,444836,laffa001,laffeaa01,6248,2007.0,2015.0
mccarthy,brandon,435221,mccab001,mccarbr01,4662,2005.0,2018.0
aybar,erick,430947,aybae001,aybarer01,4082,2006.0,2017.0
rasmus,colby,458675,rasmc001,rasmuco01,9893,2009.0,2018.0
cabrera,asdrúbal,452678,cabra002,cabreas01,4962,2007.0,2021.0
brown,brooks,453156,browb005,brownbr02,5679,2014.0,2015.0
gorzelanny,tom,452733,gorzt001,gorzeto01,6244,2005.0,2016.0
bush,matt,456713,bushm001,bushma01,1246,2016.0,2023.0
howard,ryan,429667,howar001,howarry01,2154,2004.0,2016.0
anderson,brett,474463,andeb004,anderbr04,8223,2009.0,2021.0
stubbs,drew,453211,stubd001,stubbdr01,9328,2009.0,2017.0
thompson,aaron,457744,thoma003,thompaa01,999,2011.0,2015.0
coghlan,chris,458085,coghc001,coghlch01,6878,2009.0,2017.0
ohlendorf,ross,456027,ohler001,ohlenro01,8268,2007.0,2016.0
jaime,juan,462089,jaimj001,jaimeju01,6127,2014.0,2015.0
votto,joey,458015,vottj001,vottojo01,4314,2007.0,2023.0
jaso,john,444379,jasoj001,jasojo01,5887,2008.0,2017.0
dorn,danny,457760,dornd001,dornda01,1050,2015.0,2015.0
redmond,todd,445170,redmt002,redmoto01,9943,2012.0,2015.0
chen,bruce,136600,chenb001,chenbr01,769,1998.0,2015.0
byrd,marlon,407781,byrdm001,byrdma01,950,2002.0,2016.0
broadway,mike,458678,broam001,broadmi01,9894,2015.0,2016.0
jiménez,césar,462945,jimec002,jimence01,3762,2006.0,2015.0
logan,boone,457429,logab001,loganbo02,5525,2006.0,2018.0
ross,david,424325,rossd001,rossda01,1551,2002.0,2016.0
ríos,alex,425567,riosa002,riosal01,2090,2004.0,2015.0
morales,franklin,462985,moraf001,moralfr01,5088,2007.0,2016.0
edwards,jon,457754,edwaj001,edwarjo02,1483,2014.0,2019.0
janish,paul,457926,janip001,janispa01,7412,2008.0,2017.0
matusz,brian,451085,matub001,matusbr01,2646,2009.0,2016.0
fielder,prince,425902,fielp001,fieldpr01,4613,2005.0,2016.0
howell,j. p.,434442,howej003,howeljp01,8245,2005.0,2017.0
gomes,jonny,430404,gomej001,gomesjo01,1845,2003.0,2015.0
ruggiano,justin,448605,ruggj001,ruggiju01,7620,2007.0,2017.0
morris,bryan,457768,morrb002,morribr01,10234,2012.0,2017.0
blevins,jerry,460283,blevj001,blevije01,7841,2007.0,2019.0
blanco,grégor,453923,blang001,blancgr01,3123,2008.0,2018.0
balfour,grant,346797,balfg001,balfogr01,718,2001.0,2015.0
belt,brandon,474832,beltb001,beltbr01,10264,2011.0,2023.0
lópez,javier,425657,lopej002,lopezja02,1663,2003.0,2016.0
canó,robinson,429664,canor001,canoro01,3269,2005.0,2022.0
cain,matt,430912,cainm001,cainma01,4732,2005.0,2017.0
bastardo,antonio,455374,basta001,bastaan01,8844,2009.0,2017.0
garcía,luis,472610,garcl005,garcilu03,6984,2013.0,2026.0
tomlin,josh,458708,tomlj001,tomlijo01,9388,2010.0,2021.0
rivera,rené,425784,river003,riverre01,3648,2004.0,2021.0
frasor,jason,430630,frasj002,frasoja01,1906,2004.0,2015.0
frazier,todd,453943,frazt001,frazito01,785,2011.0,2021.0
arroyo,bronson,276520,arrob001,arroybr01,978,2000.0,2017.0
kendrick,kyle,452718,kendk001,kendrky01,6230,2007.0,2017.0
mathis,jeff,425772,mathj001,mathije01,3448,2005.0,2021.0
parnell,bobby,458730,parnb001,parnebo01,9926,2008.0,2016.0
vargas,jason,450306,vargj001,vargaja01,8044,2005.0,2019.0
peralta,jhonny,425509,peraj001,peraljh01,1738,2003.0,2017.0
de aza,alejandro,457477,deaza001,deazaal01,3371,2007.0,2017.0
lobatón,josé,446653,lobaj001,lobatjo01,4243,2009.0,2021.0
jennings,desmond,457775,jennd002,jennide01,1965,2010.0,2016.0
wang,chien-ming,425426,wangc001,wangch01,2074,2005.0,2016.0
murphy,david,461815,murpd005,murphda07,6035,2006.0,2015.0
varvaro,anthony,460008,varva001,varvaan01,2385,2010.0,2015.0
raburn,ryan,430605,rabur001,raburry01,2218,2004.0,2017.0
maldonado,martín,455117,maldm001,maldoma01,6887,2011.0,2025.0
butera,drew,460077,buted001,buterdr01,3411,2010.0,2021.0
coke,phil,457435,cokep001,cokeph01,5535,2008.0,2016.0
kluber,corey,446372,klubc001,klubeco01,2429,2011.0,2023.0
duda,lucas,446263,dudal001,dudalu01,2502,2010.0,2019.0
cabrera,miguel,408234,cabrm001,cabremi01,1744,2003.0,2023.0
hammel,jason,434628,hammj002,hammeja01,4538,2006.0,2018.0
tuiasosopo,matt,449168,tuiam001,tuiasma01,8272,2008.0,2016.0
mateo,marcos,456496,matem001,mateoma01,6869,2010.0,2015.0
hudson,tim,218596,hudst001,hudsoti01,921,1999.0,2015.0
iannetta,chris,455104,iannc001,iannech01,8267,2006.0,2019.0
bourn,michael,456422,bourm001,bournmi01,6387,2006.0,2016.0
smith,seth,452234,smits002,smithse01,7331,2007.0,2017.0
clippard,tyler,461325,clipt001,clippty01,5640,2007.0,2022.0
gallardo,yovani,451596,gally001,gallayo01,8173,2007.0,2018.0
brignac,reid,458582,brigr001,brignre01,8380,2008.0,2016.0
rodriguez,alex,121347,rodra001,rodrial01,1274,1994.0,2016.0
garcía,jaime,448802,garcj004,garcija02,8137,2008.0,2018.0
villanueva,carlos,453646,villc001,villaca01,4138,2006.0,2016.0
cotts,neal,425840,cottn001,cottsne01,1797,2003.0,2015.0
peralta,joel,407908,peraj002,peraljo01,2332,2005.0,2016.0
maybin,cameron,457727,maybc001,maybica01,5223,2007.0,2021.0
hamilton,josh,285078,hamij003,hamiljo03,1875,2007.0,2015.0
blanks,kyle,452035,blank002,blankky01,49,2009.0,2015.0
young,chris,432934,younc003,youngch03,3196,2004.0,2017.0
kensing,logan,434137,kensl001,kensilo01,6166,2004.0,2016.0
castillo,welington,456078,castw002,castiwe01,3256,2010.0,2019.0
trumbo,mark,444432,trumm001,trumbma01,6876,2010.0,2019.0
kennedy,ian,453178,kenni001,kenneia01,6986,2007.0,2023.0
parker,blake,453284,parkb001,parkebl01,5224,2012.0,2021.0
andrus,elvis,462101,andre001,andruel01,8709,2009.0,2023.0
pennington,cliff,460060,pennc001,pennicl01,3395,2008.0,2018.0
bloomquist,willie,217100,bloow001,bloomwi01,1066,2002.0,2015.0
jansen,kenley,445276,jansk001,janseke01,3096,2010.0,2026.0
bautista,josé,430832,bautj002,bautijo02,1887,2004.0,2018.0
prado,martín,445988,pradm001,pradoma01,3312,2006.0,2019.0
reynolds,mark,448602,reynm001,reynoma01,7619,2007.0,2019.0
bailey,homer,456701,bailh001,baileho02,8362,2007.0,2020.0
davis,wade,451584,daviw001,daviswa01,7441,2009.0,2021.0
cecil,brett,446399,cecib001,cecilbr01,2660,2009.0,2018.0
desmond,ian,435622,desmi001,desmoia01,6885,2009.0,2019.0
flande,yohan,456071,flany001,flandyo01,5057,2014.0,2016.0
albers,matt,458006,albem001,alberma01,4300,2006.0,2019.0
sánchez,aníbal,434671,sanca004,sanchan01,3284,2006.0,2022.0
peralta,david,444482,perad001,peralda01,2136,2014.0,2024.0
rodríguez,francisco,408061,rodrf003,rodrifr03,1642,2002.0,2017.0
petit,gregorio,463610,petig001,petitgr01,3812,2008.0,2018.0
solano,donovan,456781,solad001,solando01,8623,2012.0,2025.0
mujica,edward,465629,mujie001,mujiced01,3970,2006.0,2017.0
núñez,eduardo,456488,nunee002,nunezed02,6848,2010.0,2020.0
nolasco,ricky,445060,nolar001,nolasri01,3830,2006.0,2017.0
denorfia,chris,456121,denoc001,denorch01,4400,2005.0,2015.0
gonzález,adrián,408236,gonza003,gonzaad01,1908,2004.0,2018.0
escobar,alcides,444876,escoa003,escobal02,6310,2008.0,2022.0
fister,doug,450729,fistd001,fistedo01,9425,2009.0,2018.0
