age,velocity_bin,velocity_bin_label,player_seasons,unique_players,total_velocity_pitch_count,total_velocity_batted_ball_count,release_speed_sum,release_speed_count,velocity_launch_speed_sum,velocity_launch_angle_sum,velocity_launch_angle_count,velocity_hard_hit_sum,velocity_xwoba_sum,velocity_xwoba_count,velocity_xslg_sum,velocity_xslg_count,avg_OPS,avg_pitch_speed_in_bin,avg_velocity_launch_speed,avg_velocity_launch_angle,velocity_hard_hit_rate,avg_velocity_estimated_woba,avg_velocity_estimated_slg
32.0,v_ge95,95mph 이상,247,247,15069.0,4959.0,1454724.6,15069.0,419058.6,103750.0,4961.0,1257.0,1301.6815325907432,4019.0,1423.346,2652.0,0.7236555371185582,96.53756719092176,84.50465819721718,20.913122354364038,0.2534785238959468,0.32388194391409386,0.5367066365007541
33.0,v_lt85,85mph 미만,200,200,21131.0,5727.0,1706328.9,21131.0,466313.2,71449.0,5731.0,1376.0,1505.0003197702001,5169.0,1852.77,3567.0,0.7125676347389054,80.75003076049406,81.42364239566963,12.467108707031931,0.24026540946394273,0.29115889335852196,0.5194196804037006
33.0,v_85_90,85~90mph,198,198,19003.0,5368.0,1662628.4,19003.0,444430.5,61484.0,5371.0,1361.0,1475.6823664744788,4907.0,1696.887,3336.0,0.7169026429250858,87.49294321949165,82.79256706408346,11.447402718301992,0.25353949329359166,0.3007300522670631,0.5086591726618704
33.0,v_90_95,90~95mph,206,206,29671.0,9051.0,2747821.8,29671.0,763694.7,177960.0,9058.0,2402.0,2633.426266582705,7382.0,2934.479,5225.0,0.7137093064115477,92.60967948501903,84.37683128936028,19.64672113049238,0.2653850403270357,0.35673615098654904,0.5616227751196172
33.0,v_ge95,95mph 이상,191,191,11837.0,3865.0,1142412.6,11837.0,325418.1,78443.0,3865.0,979.0,1057.8902659195167,3084.0,1160.406,2042.0,0.7205962618589604,96.51200473092845,84.19614489003881,20.295730918499352,0.2532988357050453,0.343025378054318,0.5682693437806072
34.0,v_lt85,85mph 미만,155,155,16512.0,4441.0,1334881.6,16512.0,360901.0,52661.0,4442.0,989.0,1187.8033577174601,4036.0,1461.271,2762.0,0.7287210644593693,80.84312015503876,81.26570592208962,11.855245384961728,0.22269759063274036,0.2943021203462488,0.5290626357711803
34.0,v_85_90,85~90mph,155,155,15194.0,4411.0,1328607.9,15194.0,365927.8,55251.0,4416.0,1122.0,1229.8623030429953,3940.0,1436.984,2698.0,0.7299753216917582,87.44293142029748,82.95801405576967,12.511548913043478,0.2543640897755611,0.3121477926505064,0.5326108228317272
34.0,v_90_95,90~95mph,158,158,22639.0,7180.0,2096127.0,22639.0,607780.9,137726.0,7183.0,1988.0,2083.456715130655,5716.0,2392.474,4158.0,0.7283935684345146,92.58920447016212,84.6491504178273,19.173882778783238,0.27688022284122565,0.36449557647492214,0.5753905723905725
34.0,v_ge95,95mph 이상,146,146,9579.0,3275.0,924517.3,9579.0,274262.6,69425.0,3279.0,782.0,818.171155576186,2506.0,907.074,1677.0,0.729683115296033,96.51501200542855,83.74430534351144,21.172613601707837,0.23877862595419846,0.3264848984741365,0.5408908765652951
35.0,v_lt85,85mph 미만,110,110,11063.0,2852.0,894173.2,11063.0,232118.5,36038.0,2853.0,642.0,764.72524745255,2646.0,875.889,1812.0,0.7227108327537219,80.82556268643225,81.38797335203365,12.63161584297231,0.22510518934081347,0.28901180931691234,0.4833824503311258
