playerID,nameFirst,nameLast,yearID,batted_ball_count,next_OPS,age,OPS,OBP,SLG,avg_launch_speed,avg_launch_angle,hard_hit_rate,avg_estimated_woba,avg_estimated_slg
kendrho01,Howie,Kendrick,2016,135.0,0.8436733091194659,33.0,0.6914699309108647,0.3259668508287293,0.3655030800821355,86.14814814814815,8.451851851851853,0.3037037037037037,0.2905704298245614,0.3969058823529412
kendrho01,Howie,Kendrick,2017,90.0,0.8049342105263158,34.0,0.8436733091194659,0.3682634730538922,0.4754098360655737,83.66777777777779,6.544444444444444,0.2222222222222222,0.3362839868421052,0.5433818181818182
kendrho01,Howie,Kendrick,2018,58.0,0.9664508820197444,35.0,0.8049342105263158,0.33125,0.4736842105263157,87.72068965517241,12.120689655172416,0.3448275862068966,0.3105980208333334,0.4765263157894736
keplema01,Max,Kepler,2023,167.0,0.6819423202971379,30.0,0.815993824921649,0.3319755600814664,0.4840182648401826,83.2502994011976,12.65868263473054,0.311377245508982,0.3585261636217754,0.712
kiermke01,Kevin,Kiermaier,2021,131.0,0.6494750252602908,31.0,0.7161361626878868,0.3282051282051282,0.3879310344827586,79.03664122137404,7.0,0.1526717557251908,0.2895545877348458,0.454741935483871
kiermke01,Kevin,Kiermaier,2022,76.0,0.7407862407862408,32.0,0.6494750252602908,0.2805429864253393,0.3689320388349514,80.85394736842105,13.157894736842104,0.2105263157894736,0.2942930796456987,0.5691538461538461
kiermke01,Kevin,Kiermaier,2023,126.0,0.5499675901135754,33.0,0.7407862407862408,0.3218673218673218,0.4189189189189189,80.7515873015873,9.039370078740156,0.1825396825396825,0.3135776533796991,0.4521643835616438
kinslia01,Ian,Kinsler,2015,170.0,0.8313887260439157,33.0,0.7701068376068376,0.3422222222222222,0.4278846153846153,84.82235294117646,19.32941176470588,0.2588235294117647,0.3120823178807947,0.4251904761904762
kinslia01,Ian,Kinsler,2016,177.0,0.7251919245151186,34.0,0.8313887260439157,0.3475699558173785,0.4838187702265372,83.59830508474576,19.322033898305083,0.2372881355932203,0.3404888012820513,0.5243043478260869
kinslia01,Ian,Kinsler,2017,129.0,0.681374924055403,35.0,0.7251919245151186,0.3132137030995106,0.4119782214156079,81.63798449612402,21.472868217054263,0.2015503875968992,0.3313561636363636,0.4681860465116279
kinslia01,Ian,Kinsler,2018,171.0,0.6457971254379431,36.0,0.681374924055403,0.301498127340824,0.3798767967145791,84.12690058479532,21.140350877192983,0.2163742690058479,0.3271168382352941,0.4599716981132075
kipnija01,Jason,Kipnis,2017,79.0,0.703679245283019,30.0,0.7047955974842768,0.2911051212938005,0.4136904761904761,81.75569620253165,15.582278481012658,0.240506329113924,0.2912216388888888,0.4663333333333333
kipnija01,Jason,Kipnis,2018,177.0,0.7148281754319348,31.0,0.703679245283019,0.315,0.3886792452830189,82.9909604519774,20.214689265536723,0.2259887005649717,0.2742251910828025,0.428716814159292
lasteto01,Tommy,La Stella,2021,50.0,0.632051282051282,32.0,0.7128787878787879,0.3083333333333333,0.4045454545454545,83.874,20.2,0.2,0.2789744299676931,0.3610624999999999
lemahdj01,DJ,LeMahieu,2018,135.0,0.8928901622522275,30.0,0.7490108779126851,0.3212435233160621,0.4277673545966229,85.35481481481482,7.525925925925926,0.2888888888888888,0.3452397899159664,0.4909673913043478
lemahdj01,DJ,LeMahieu,2021,212.0,0.7342810690776429,33.0,0.7108517550935828,0.3490427098674521,0.3618090452261306,84.43396226415095,12.816037735849056,0.3066037735849056,0.3381173284827622,0.4668306451612903
lemahdj01,DJ,LeMahieu,2022,187.0,0.7177441875452,34.0,0.7342810690776429,0.3574074074074074,0.3768736616702355,84.1048128342246,13.614973262032086,0.2299465240641711,0.3384575037236185,0.5293516483516484
lemahdj01,DJ,LeMahieu,2023,170.0,0.527428934622044,35.0,0.7177441875452,0.3274021352313167,0.3903420523138833,83.25882352941177,16.51764705882353,0.2470588235294117,0.3074827637270312,0.5541022727272727
lindad01,Adam,Lind,2015,138.0,0.7174679580119468,32.0,0.8202992226896609,0.3601398601398601,0.4601593625498008,89.94782608695651,16.97826086956522,0.3768115942028985,0.4153494966442952,0.6893786407766991
lindad01,Adam,Lind,2016,103.0,0.8752348600793858,33.0,0.7174679580119468,0.2860465116279069,0.4314214463840399,84.6631067961165,13.067961165048544,0.2233009708737864,0.26743193,0.485939393939394
lindofr01,Francisco,Lindor,2023,225.0,0.8439767779390421,30.0,0.8063442092588026,0.3362445414847161,0.4700996677740864,84.60400000000001,19.364444444444445,0.28,0.3794924202295483,0.6652612612612612
loneyja01,James,Loney,2015,88.0,0.7033507727944407,31.0,0.6795056686752149,0.3221649484536082,0.3573407202216066,86.47500000000001,10.181818181818182,0.2727272727272727,0.3131934893617021,0.4213205128205128
longoev01,Evan,Longoria,2015,114.0,0.8395751894004913,30.0,0.7637886725313828,0.3283582089552239,0.4354304635761589,89.37456140350878,16.99122807017544,0.4122807017543859,0.4454449104477612,0.7957802197802197
longoev01,Evan,Longoria,2016,168.0,0.7372897896631574,31.0,0.8395751894004913,0.3182481751824818,0.5213270142180095,86.48214285714286,21.18452380952381,0.3333333333333333,0.3890039681528662,0.7308849557522125
longoev01,Evan,Longoria,2017,160.0,0.69375,32.0,0.7372897896631574,0.3131462333825701,0.4241435562805872,83.253125,19.5,0.2875,0.3464913161290322,0.5498288288288288
longoev01,Evan,Longoria,2018,150.0,0.761889242321531,33.0,0.69375,0.28125,0.4125,82.74,16.04,0.2333333333333333,0.2747978125,0.5664827586206896
longoev01,Evan,Longoria,2021,67.0,0.7665640611596104,36.0,0.8327289026527036,0.3505154639175257,0.4822134387351778,87.51044776119404,14.1044776119403,0.3283582089552239,0.39475441818308,0.6644634146341464
longoev01,Evan,Longoria,2022,64.0,0.7171595976563281,37.0,0.7665640611596104,0.3154362416107382,0.4511278195488721,83.2359375,12.625,0.234375,0.2270950792540792,0.4411
lowrije01,Jed,Lowrie,2015,60.0,0.636848350732028,31.0,0.711787072243346,0.311787072243346,0.4,87.44666666666667,13.466666666666669,0.3166666666666666,0.2861113064516128,0.4899
lowrije01,Jed,Lowrie,2016,122.0,0.8076617037857348,32.0,0.636848350732028,0.3143631436314363,0.3224852071005917,80.7360655737705,15.836065573770492,0.1639344262295081,0.287989281553398,0.434972972972973
