batter,yearID,age_bat,batted_ball_count,avg_launch_speed,avg_launch_angle,hard_hit_rate,avg_estimated_woba,avg_estimated_slg
430935,2015,128.0,8,77.6875,8.125,0.25,0.14500000000000002,0.3875
430935,2016,33.0,3,75.56666666666666,-2.0,0.0,0.07,0.08
430935,2017,34.0,2,85.8,-11.0,0.5,0.07,0.11599999999999999
430935,2018,105.0,6,74.21666666666667,1.8333333333333333,0.0,0.08571428571428573,0.176
430935,2019,144.0,6,74.95,3.0,0.16666666666666666,0.2557142857142857,0.46699999999999997
430945,2015,180.0,141,89.58652482269504,15.00709219858156,0.3546099290780142,0.36774937762237764,0.6424181818181818
430945,2016,186.0,179,83.83072625698324,19.893854748603353,0.2569832402234637,0.3012062516129032,0.5061229508196722
430945,2017,192.0,196,81.08061224489795,17.01530612244898,0.1989795918367347,0.2757793741935484,0.40463247863247864
430945,2018,231.0,172,86.33953488372093,15.19186046511628,0.31976744186046513,0.3122248013245033,0.4915087719298245
430945,2019,238.0,171,83.34152046783626,17.80701754385965,0.28654970760233917,0.306097928057554,0.5472761904761906
430947,2015,186.0,130,84.26923076923077,4.984615384615385,0.2076923076923077,0.3047113461538462,0.43832692307692306
430947,2016,160.0,102,82.18921568627452,7.833333333333333,0.13725490196078433,0.25541112790697673,0.377921875
430947,2017,165.0,109,79.93211009174313,13.46788990825688,0.11926605504587157,0.28021252631578947,0.3638904109589041
430948,2015,160.0,81,82.16296296296296,16.444444444444443,0.14814814814814814,0.31272346153846153,0.348671875
431094,2015,165.0,66,88.69545454545454,8.696969696969697,0.36363636363636365,0.33455235135135136,0.4866346153846154
431094,2016,204.0,120,82.3775,17.875,0.18333333333333332,0.32700316504854365,0.43185365853658536
431094,2017,70.0,17,82.28235294117647,30.58823529411765,0.23529411764705882,0.45512387499999996,0.905111111111111
431145,2015,192.0,79,84.89113924050632,9.126582278481013,0.3037974683544304,0.2635809439252337,0.4866
431145,2016,198.0,103,85.5873786407767,9.077669902912621,0.34951456310679613,0.32627606504065043,0.6540135135135134
431145,2017,170.0,65,84.03846153846153,15.092307692307692,0.24615384615384617,0.3336735421686747,0.5214468085106383
431145,2018,210.0,80,87.9,11.375,0.375,0.31858952631578946,0.42841379310344824
431145,2019,252.0,72,83.61805555555556,11.319444444444445,0.2361111111111111,0.3659981898734177,0.5586666666666666
431148,2015,31.0,1,67.9,-24.0,0.0,0.0215,0.039
431148,2016,160.0,9,76.69999999999999,1.6666666666666667,0.0,0.06914285714285714,0.14900000000000002
431148,2021,37.0,0,,,,0.0,
431151,2015,66.0,38,89.03947368421052,20.263157894736842,0.34210526315789475,0.41271362790697674,0.7903548387096774
431151,2016,68.0,27,85.94814814814815,31.37037037037037,0.2962962962962963,0.41414443243243243,0.6649411764705883
431151,2018,36.0,1,80.0,69.0,0.0,0.344765,0.0
431171,2015,198.0,55,87.25454545454545,4.618181818181818,0.36363636363636365,0.2779276875,0.4220208333333333
431171,2016,68.0,26,84.01923076923077,11.692307692307692,0.23076923076923078,0.33875,0.5432941176470588
433217,2015,186.0,41,86.48536585365854,10.75609756097561,0.3170731707317073,0.39254671428571425,0.6797272727272727
433217,2016,160.0,37,83.30540540540541,12.72972972972973,0.24324324324324326,0.28571288571428577,0.3877272727272727
433217,2017,198.0,50,80.46,24.8,0.16,0.23811890476190473,0.43129032258064515
433584,2016,36.0,2,61.9,25.5,0.0,0.0,
433587,2018,32.0,3,75.56666666666666,-34.666666666666664,0.0,0.052500000000000005,0.059
433587,2019,33.0,1,49.6,-9.0,0.0,0.0,
433589,2015,31.0,1,87.8,-27.0,0.0,0.043,0.045
433589,2016,32.0,0,,,,,
434158,2015,204.0,100,88.285,16.08,0.38,0.36294575999999995,0.660113924050633
434158,2016,210.0,144,85.09791666666666,19.993055555555557,0.25,0.344593335483871,0.6104166666666667
434158,2017,216.0,129,82.4798449612403,21.589147286821706,0.23255813953488372,0.28799915789473685,0.4770985915492958
434158,2018,259.0,94,82.05851063829788,18.127659574468087,0.19148936170212766,0.3505374757281553,0.6042407407407407
434158,2019,266.0,74,81.67702702702704,16.35135135135135,0.17567567567567569,0.30249587654320986,0.6285952380952381
434378,2016,33.0,2,80.2,33.0,0.0,0.2776666666666667,0.48200000000000004
434378,2018,35.0,2,80.80000000000001,21.0,0.0,0.028666666666666663,0.0505
434538,2015,192.0,10,87.42999999999999,13.3,0.5,0.154,0.2802222222222222
434538,2016,132.0,8,88.675,10.875,0.25,0.2039090909090909,0.4027142857142857
434538,2018,35.0,1,102.4,5.0,1.0,0.545,0.671
434540,2015,102.0,17,91.32941176470588,8.235294117647058,0.4117647058823529,0.29563372,0.5060588235294118
