playerID,nameFirst,nameLast,yearID,age,G,AB,H,2B,3B,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,bats,throws,prev_year,next_year,prev_OPS,next_OPS,prev_OBP,next_OBP,prev_SLG,next_SLG,delta_OPS,delta_OBP,delta_SLG,statcast_age_bat,batted_ball_count,avg_launch_speed,avg_launch_angle,hard_hit_rate,avg_estimated_woba,avg_estimated_slg
trevijo01,Jose,Trevino,2023,31.0,55,157,33,4,0,4,15.0,0.0,8,22.0,0.2101910828025477,0.2574850299401197,0.3121019108280254,0.5695869407681452,R,R,2022.0,2024.0,0.6713458204727073,0.6416206337146025,0.28328611898017,0.2875536480686695,0.3880597014925373,0.354066985645933,-0.1017588797045621,-0.0258010890400502,-0.0759577906645118,124.0,57.0,82.33684210526316,13.771929824561404,0.2982456140350877,0.329810334438094,0.5012857142857143
troutmi01,Mike,Trout,2021,30.0,36,117,39,8,1,8,18.0,2.0,27,41.0,0.3333333333333333,0.4657534246575342,0.6239316239316239,1.0896850485891585,R,R,,2022.0,,0.9988744612512696,,0.3687374749498998,,0.6301369863013698,,,,60.0,55.0,86.66,26.23636363636364,0.3636363636363636,0.4456742336152379,1.01104
troutmi01,Mike,Trout,2022,31.0,119,438,124,28,2,40,80.0,1.0,54,139.0,0.2831050228310502,0.3687374749498998,0.6301369863013698,0.9988744612512696,R,R,2021.0,2023.0,1.0896850485891585,0.8576630551768674,0.4657534246575342,0.3674033149171271,0.6239316239316239,0.4902597402597403,-0.0908105873378886,-0.0970159497076344,0.0062053623697458,155.0,119.0,85.14201680672268,32.09243697478992,0.2773109243697479,0.4928001386664316,1.1052372881355932
troutmi01,Mike,Trout,2023,32.0,82,308,81,14,1,18,44.0,2.0,45,104.0,0.262987012987013,0.3674033149171271,0.4902597402597403,0.8576630551768674,R,R,2022.0,2024.0,0.9988744612512696,0.8666812290665502,0.3687374749498998,0.3253968253968254,0.6301369863013698,0.5412844036697247,-0.1412114060744023,-0.0013341600327727,-0.1398772460416295,128.0,106.0,84.94622641509433,17.28301886792453,0.2735849056603773,0.3890207613927292,0.7715510204081633
trumbma01,Mark,Trumbo,2016,30.0,159,613,157,27,1,47,108.0,2.0,51,170.0,0.2561174551386623,0.3163418290854572,0.533442088091354,0.8497839171768112,R,R,,2017.0,,0.6856949599053035,,0.2885572139303483,,0.3971377459749552,,,,180.0,150.0,89.04933333333334,21.086666666666662,0.3733333333333333,0.3850713379310345,0.7837373737373736
trumbma01,Mark,Trumbo,2017,31.0,146,559,131,22,0,23,65.0,1.0,42,149.0,0.2343470483005366,0.2885572139303483,0.3971377459749552,0.6856949599053035,R,R,2016.0,2018.0,0.8497839171768112,0.7643643135263247,0.3163418290854572,0.3128491620111732,0.533442088091354,0.4515151515151515,-0.1640889572715077,-0.0277846151551089,-0.1363043421163987,155.0,133.0,87.00526315789475,21.330827067669173,0.3533834586466165,0.3642044262295082,0.6394269662921348
tsutsyo01,Yoshi,Tsutsugo,2021,30.0,81,230,50,12,1,8,32.0,0.0,29,72.0,0.217391304347826,0.3065134099616858,0.3826086956521739,0.6891221056138597,L,R,,2022.0,,0.4781164279183175,,0.2487046632124352,,0.2294117647058823,,,,120.0,80.0,79.025,21.6,0.225,0.3379586303123399,0.5724871794871794
tulowtr01,Troy,Tulowitzki,2015,31.0,128,486,136,27,0,17,70.0,1.0,38,114.0,0.279835390946502,0.3370786516853932,0.4403292181069959,0.7774078697923892,R,R,,2016.0,,0.7611041367766619,,0.3180147058823529,,0.4430894308943089,,,,186.0,110.0,89.96636363636362,11.554545454545456,0.4454545454545454,0.2835151567164179,0.4717096774193548
tulowtr01,Troy,Tulowitzki,2016,32.0,131,492,125,21,0,24,79.0,1.0,43,101.0,0.2540650406504065,0.3180147058823529,0.4430894308943089,0.7611041367766619,R,R,2015.0,2017.0,0.7774078697923892,0.6775933609958507,0.3370786516853932,0.3,0.4403292181069959,0.3775933609958506,-0.0163037330157272,-0.0190639458030403,0.002760212787313,160.0,134.0,86.18731343283582,24.686567164179102,0.3134328358208955,0.3303519435483871,0.5570833333333334
turneju01,Justin,Turner,2015,31.0,126,385,113,26,1,16,60.0,5.0,36,71.0,0.2935064935064935,0.3698630136986301,0.4909090909090909,0.860772104607721,R,R,,2016.0,,0.8320340512156191,,0.3392282958199357,,0.4928057553956834,,,,155.0,69.0,87.14927536231885,14.884057971014492,0.3188405797101449,0.3332741627906976,0.5189322033898305
turneju01,Justin,Turner,2016,32.0,151,556,153,34,3,27,90.0,4.0,48,107.0,0.2751798561151079,0.3392282958199357,0.4928057553956834,0.8320340512156191,R,R,2015.0,2017.0,0.860772104607721,0.9446696326919506,0.3698630136986301,0.4151291512915129,0.4909090909090909,0.5295404814004376,-0.0287380533921018,-0.0306347178786944,0.0018966644865925,192.0,166.0,85.68734939759037,24.174698795180724,0.2590361445783132,0.3209282251655629,0.5625631067961165
